round,home,away,reg,et,decider,winner,date
# Fill ONE row per knockout match as it is played. Header line above must stay first.
# round   : R32 | R16 | QF | SF | FINAL | BRONZE   (BRONZE = 3rd-place match, scores no points)
# home,away: team names exactly as in data/groups.txt (English), e.g. "United States", "Ivory Coast"
# reg     : 90-minute score as "h-a"  (e.g. 2-1)
# et      : goals scored in extra time as "h-a" (leave blank if no extra time)
# decider : FT (won in regulation) | ET (won in extra time) | P (penalty shootout)
# winner  : the team that advanced  (REQUIRED — for P the reg+et score is a draw)
# date    : YYYY-MM-DD the match was played (official eloratings match dates; drives the "over tid" timeline)
#
# Examples (delete or keep as comments — lines starting with # are ignored):
#   R32,Mexico,Norway,2-1,,FT,Mexico,2026-06-30
#   R16,Spain,Brazil,1-1,0-0,P,Spain,2026-07-05
#   QF,France,England,1-1,1-0,ET,France,2026-07-10
R32,Canada,South Africa,1-0,,FT,Canada,2026-06-28
R32,Brazil,Japan,2-1,,FT,Brazil,2026-06-29
R32,Germany,Paraguay,1-1,0-0,P,Paraguay,2026-06-29
R32,Netherlands,Morocco,1-1,0-0,P,Morocco,2026-06-29
R32,Norway,Ivory Coast,2-1,,FT,Norway,2026-06-30
R32,France,Sweden,3-0,,FT,France,2026-06-30
R32,Mexico,Ecuador,2-0,,FT,Mexico,2026-06-30
R32,England,DR Congo,2-1,,FT,England,2026-07-01
R32,Belgium,Senegal,2-2,1-0,ET,Belgium,2026-07-01
R32,United States,Bosnia and Herzegovina,2-0,,FT,United States,2026-07-01
R32,Spain,Austria,3-0,,FT,Spain,2026-07-02
R32,Portugal,Croatia,2-1,,FT,Portugal,2026-07-02
R32,Switzerland,Algeria,2-0,,FT,Switzerland,2026-07-02
R32,Egypt,Australia,1-1,0-0,P,Egypt,2026-07-03
R32,Argentina,Cape Verde,1-1,2-1,ET,Argentina,2026-07-03
R32,Colombia,Ghana,1-0,,FT,Colombia,2026-07-03
R16,Morocco,Canada,3-0,,FT,Morocco,2026-07-04
R16,France,Paraguay,1-0,,FT,France,2026-07-04
R16,Norway,Brazil,2-1,,FT,Norway,2026-07-05
R16,England,Mexico,3-2,,FT,England,2026-07-05
R16,Spain,Portugal,1-0,,FT,Spain,2026-07-06
R16,Belgium,United States,4-1,,FT,Belgium,2026-07-06
R16,Argentina,Egypt,3-2,,FT,Argentina,2026-07-07
R16,Switzerland,Colombia,0-0,0-0,P,Switzerland,2026-07-07
QF,France,Morocco,2-0,,FT,France,2026-07-09
QF,Spain,Belgium,2-1,,FT,Spain,2026-07-10
QF,England,Norway,1-1,1-0,ET,England,2026-07-11
QF,Argentina,Switzerland,1-1,2-0,ET,Argentina,2026-07-11
SF,Spain,France,2-0,,FT,Spain,2026-07-14
SF,Argentina,England,2-1,,FT,Argentina,2026-07-15
BRONZE,France,England,4-6,,FT,England,2026-07-18
FINAL,Spain,Argentina,0-0,1-0,ET,Spain,2026-07-19
